hand_p1,hand_p2,E[p1],E[p2],emp_p1,emp_p2,VAR[p1],VAR[p2]
"(('D', 5), ('S', 5), ('D', 10), ('C', 13))","(('S', 3), ('S', 6), ('C', 11), ('D', 12))",0.6923076923076925,-0.6923076923076925,0.7,-0.6911,0.21301775147928978,0.21301775147928978
"(('S', 7), ('C', 12), ('H', 12), ('H', 14))","(('S', 2), ('H', 3), ('C', 7), ('D', 12))",0.8461538461538467,-0.8461538461538467,0.848,-0.848,0.13017751479289943,0.13017751479289943
"(('H', 7), ('H', 12), ('D', 13), ('S', 14))","(('C', 4), ('C', 5), ('H', 9), ('C', 13))",0.0,0.0,0.006,0.0068,0.46153846153846134,0.46153846153846134
"(('D', 4), ('H', 8), ('S', 9), ('D', 9))","(('H', 4), ('C', 5), ('C', 10), ('D', 13))",0.7692307692307696,-0.7692307692307696,0.7706,-0.7685,0.17751479289940839,0.17751479289940839
"(('H', 2), ('C', 5), ('S', 6), ('H', 10))","(('S', 3), ('D', 5), ('C', 10), ('D', 14))",0.0,0.0,-0.0001,-0.0117,0.3076923076923076,0.3076923076923076
"(('C', 2), ('S', 2), ('C', 6), ('S', 13))","(('H', 4), ('S', 6), ('C', 10), ('C', 14))",0.7692307692307696,-0.7692307692307696,0.774,-0.7738,0.17751479289940836,0.17751479289940836
"(('D', 5), ('S', 8), ('C', 11), ('H', 12))","(('C', 4), ('H', 10), ('S', 11), ('H', 11))",-0.7692307692307696,0.7692307692307696,-0.774,0.7695,0.17751479289940839,0.17751479289940839
"(('D', 3), ('S', 6), ('H', 6), ('S', 12))","(('C', 2), ('C', 7), ('C', 8), ('C', 11))",0.26923076923076916,-0.26923076923076916,0.274,-0.2677,0.6967455621301772,0.6967455621301772
"(('C', 10), ('C', 11), ('D', 13), ('C', 14))","(('D', 3), ('C', 4), ('C', 13), ('H', 14))",0.07692307692307693,-0.07692307692307693,0.0736,-0.0773,0.3786982248520713,0.3786982248520713
"(('D', 4), ('C', 9), ('S', 13), ('S', 14))","(('S', 2), ('D', 9), ('H', 12), ('D', 12))",-0.7692307692307696,0.7692307692307696,-0.7693,0.7659,0.17751479289940836,0.17751479289940836
"(('D', 5), ('H', 6), ('D', 9), ('S', 14))","(('C', 3), ('D', 10), ('H', 11), ('H', 12))",0.0,0.0,0.0019,0.0126,0.6153846153846154,0.6153846153846154
"(('C', 6), ('C', 10), ('H', 13), ('S', 13))","(('C', 2), ('C', 3), ('H', 11), ('D', 12))",0.6923076923076925,-0.6923076923076925,0.6879,-0.696,0.21301775147928978,0.21301775147928978
"(('H', 3), ('H', 10), ('S', 10), ('D', 11))","(('D', 3), ('D', 4), ('C', 6), ('S', 6))",0.0,0.0,-0.007,0.0077,0.3076923076923076,0.3076923076923076
"(('H', 4), ('H', 9), ('S', 10), ('C', 12))","(('H', 11), ('D', 11), ('D', 12), ('S', 13))",-0.7692307692307696,0.7692307692307696,-0.7658,0.7606,0.1775147928994084,0.1775147928994084
"(('C', 3), ('H', 8), ('C', 12), ('H', 14))","(('S', 4), ('H', 6), ('D', 11), ('D', 14))",0.0,0.0,-0.0003,-0.0017,0.46153846153846134,0.46153846153846134
"(('H', 3), ('D', 7), ('S', 9), ('S', 10))","(('C', 5), ('H', 5), ('H', 8), ('S', 11))",-0.6923076923076925,0.6923076923076925,-0.6893,0.6894,0.21301775147928978,0.21301775147928978
"(('S', 2), ('D', 2), ('H', 3), ('H', 6))","(('D', 3), ('D', 4), ('C', 5), ('H', 9))",0.7692307692307696,-0.7692307692307696,0.7757,-0.7658,0.17751479289940844,0.17751479289940844
"(('S', 3), ('H', 9), ('H', 13), ('C', 13))","(('D', 2), ('S', 11), ('H', 12), ('H', 14))",0.6923076923076925,-0.6923076923076925,0.6957,-0.6923,0.21301775147928978,0.21301775147928978
"(('H', 3), ('C', 6), ('S', 6), ('D', 10))","(('H', 2), ('H', 8), ('C', 8), ('D', 14))",0.0,0.0,-0.0019,0.0008,0.46153846153846134,0.46153846153846134
"(('D', 4), ('H', 4), ('H', 10), ('S', 13))","(('D', 2), ('H', 3), ('D', 11), ('C', 14))",0.6923076923076925,-0.6923076923076925,0.6852,-0.6939,0.21301775147928978,0.21301775147928978
"(('D', 4), ('C', 6), ('D', 9), ('C', 11))","(('H', 4), ('C', 5), ('D', 11), ('C', 13))",0.0,0.0,-0.002,-0.0064,0.3076923076923076,0.3076923076923076
"(('H', 2), ('D', 10), ('S', 12), ('S', 13))","(('S', 3), ('C', 5), ('S', 8), ('S', 11))",0.0,0.0,-0.0005,-0.005,0.6153846153846154,0.6153846153846154
"(('D', 2), ('H', 4), ('S', 8), ('D', 14))","(('C', 4), ('D', 7), ('C', 10), ('C', 13))",0.0,0.0,-0.0056,0.0164,0.46153846153846134,0.46153846153846134
"(('H', 3), ('D', 6), ('D', 8), ('D', 11))","(('C', 6), ('S', 7), ('S', 13), ('D', 14))",0.0,0.0,0.0059,-0.0121,0.46153846153846134,0.46153846153846134
"(('S', 3), ('H', 7), ('S', 13), ('D', 13))","(('C', 2), ('S', 4), ('D', 9), ('S', 12))",0.6923076923076925,-0.6923076923076925,0.6953,-0.692,0.21301775147928978,0.21301775147928978
"(('C', 4), ('D', 9), ('H', 10), ('S', 13))","(('C', 2), ('H', 8), ('C', 9), ('D', 13))",0.0,0.0,-0.0014,0.0059,0.3076923076923076,0.3076923076923076
"(('C', 4), ('H', 8), ('H', 12), ('D', 12))","(('H', 2), ('D', 7), ('D', 8), ('H', 11))",0.7692307692307696,-0.7692307692307696,0.7726,-0.7722,0.1775147928994084,0.1775147928994084
"(('C', 3), ('S', 4), ('D', 10), ('H', 14))","(('C', 4), ('S', 5), ('C', 10), ('D', 12))",0.0,0.0,-0.0103,-0.0018,0.3076923076923076,0.3076923076923076
"(('C', 6), ('C', 8), ('H', 12), ('D', 13))","(('D', 6), ('S', 8), ('H', 8), ('D', 9))",-0.8461538461538467,0.8461538461538467,-0.8525,0.8435,0.13017751479289943,0.13017751479289943
"(('D', 2), ('H', 5), ('S', 7), ('C', 11))","(('S', 3), ('C', 7), ('C', 12), ('C', 13))",0.0,0.0,-0.0144,-0.0068,0.46153846153846134,0.46153846153846134
"(('S', 3), ('C', 11), ('D', 13), ('C', 13))","(('S', 2), ('S', 5), ('D', 7), ('D', 9))",0.6923076923076925,-0.6923076923076925,0.6882,-0.6889,0.21301775147928978,0.21301775147928978
"(('D', 3), ('D', 5), ('D', 8), ('S', 13))","(('C', 5), ('H', 7), ('H', 13), ('H', 14))",0.0,0.0,0.0028,-0.0053,0.3076923076923076,0.3076923076923076
"(('H', 2), ('C', 4), ('H', 8), ('H', 13))","(('H', 4), ('H', 7), ('D', 7), ('H', 12))",-0.7692307692307696,0.7692307692307696,-0.7712,0.7723,0.17751479289940839,0.17751479289940839
"(('S', 4), ('C', 4), ('H', 7), ('C', 13))","(('H', 5), ('C', 5), ('D', 6), ('D', 11))",0.0,0.0,-0.0003,-0.0039,0.46153846153846134,0.46153846153846134
"(('S', 6), ('C', 9), ('D', 10), ('C', 12))","(('S', 9), ('H', 12), ('H', 14), ('S', 14))",-0.8461538461538467,0.8461538461538467,-0.8491,0.8453,0.13017751479289943,0.13017751479289943
"(('D', 3), ('D', 8), ('S', 11), ('D', 12))","(('C', 4), ('C', 5), ('C', 10), ('C', 13))",-0.24999999999999994,0.24999999999999994,-0.2568,0.2567,0.6490384615384617,0.6490384615384617
"(('S', 7), ('D', 10), ('C', 12), ('S', 12))","(('S', 3), ('H', 4), ('D', 9), ('S', 13))",0.6923076923076925,-0.6923076923076925,0.6943,-0.6929,0.21301775147928978,0.21301775147928978
"(('C', 3), ('C', 8), ('S', 11), ('H', 12))","(('H', 4), ('S', 5), ('H', 6), ('S', 8))",-0.07692307692307693,0.07692307692307693,-0.0765,0.0713,0.532544378698225,0.532544378698225
